store_id,phone_number,time,city_id
1,(07)136-9594,2026-03-01,41
2,00 6409 0974,2025-01-29,8
3,(09) 5339 4210,2022-09-29,2
4,00 9521456,2022-01-28,48
5,(08) 5884 2474,2024-12-06,18
6,01 7123 6851,2025-02-25,16
7,+84 48 1754965,2021-09-27,15
8,(07) 0985 9317,2025-09-30,9
9,06 1200 4711,2022-05-16,48
10,+84-26-758692,2025-08-17,7
11,+84-17-964 0537,2023-06-04,44
12,(05) 1585 0643,2026-01-15,48
13,(07)139-0053,2026-02-22,35
14,(09)318-3933,2022-11-04,6
15,(09) 0422 8421,2024-07-03,38
16,+84 20 5395024,2021-06-17,28
17,+84-68-117 7589,2021-09-29,3
18,+84-39-084700,2026-03-12,2
19,(06)617-7115,2024-03-29,6
20,+84 24 9985698,2022-09-03,14
21,+84-96-118367,2025-08-22,15
22,05 7661565,2024-07-11,33
23,02 7111 1615,2025-04-05,39
24,+84-09-885165,2025-07-27,2
25,(06)049-4519,2023-09-27,36
26,(07) 3158 5149,2022-05-01,13
27,08 9980940,2022-02-06,46
28,+84-45-502 2961,2021-11-28,42
29,+84-01-836 6752,2023-01-19,45
30,+84-59-910 2290,2024-07-27,35
31,07 6797 6438,2021-10-07,27
32,01 4978403,2023-03-06,15
33,+84-00-343244,2022-11-03,29
34,+84 76 2268388,2025-05-14,38
35,(05)160-6071,2025-07-06,18
36,+84-69-664160,2026-01-12,1
37,(09) 7516 1369,2023-03-15,49
38,+84 64 5352181,2023-11-08,11
39,(05) 5231 2432,2024-03-18,45
40,(01)277-9979,2024-05-31,28
41,+84-55-271774,2025-03-07,22
42,+84-05-814770,2021-06-25,18
43,(04)119-9867,2024-02-07,10
44,(00)793-5978,2021-12-14,14
45,+84 71 5182037,2026-02-26,49
46,+84-89-255466,2025-01-26,22
47,+84-90-515 1864,2022-06-17,7
48,(09)251-9254,2026-01-14,6
49,+84-62-914 8652,2024-07-20,25
50,(08)168-5054,2022-02-06,7
51,(05) 7332 2141,2023-09-27,23
52,+84-80-592962,2022-01-04,23
53,(09)270-6537,2024-04-02,39
54,(07)383-4735,2024-08-04,17
55,+84-77-468862,2025-04-14,3
56,(09)240-7581,2024-10-03,47
57,+84-14-124782,2025-05-10,30
58,+84 37 5060685,2022-05-18,35
59,+84 53 0515220,2022-08-20,8
60,(07)277-9010,2022-06-24,25
61,(02)898-6143,2022-09-15,6
62,+84 36 9711798,2021-04-13,36
63,+84-93-246095,2022-05-27,19
64,02 1851888,2025-02-17,41
65,+84-80-670654,2024-12-08,40
66,01 5319 5205,2023-12-06,24
67,(02)772-2170,2022-09-01,37
68,+84 30 5486874,2021-05-19,13
69,+84-34-505 4156,2025-08-25,46
70,+84-76-527 7584,2025-03-16,5
71,+84-61-692 8451,2021-08-07,3
72,+84-44-796 2757,2021-05-30,43
73,(05)964-0165,2023-10-07,15
74,+84-20-297 0213,2025-02-03,50
75,05 6909 2755,2023-06-03,19
76,+84 92 8565431,2021-04-30,6
77,(07) 8681 4473,2026-03-08,15
78,07 3121 7271,2025-04-02,7
79,(05)518-8442,2024-10-04,25
80,+84-25-831 3237,2021-05-01,18
81,+84-95-782911,2022-09-30,30
82,+84-78-669 1251,2023-06-14,41
83,+84-85-289 2268,2025-10-02,24
84,+84 18 2422535,2025-12-09,11
85,+84-41-438424,2024-04-09,24
86,+84 82 9922995,2025-05-31,23
87,+84-00-109439,2023-04-14,14
88,+84-07-844 7364,2023-06-20,43
89,+84-02-767 7359,2021-12-01,18
90,(05)562-5881,2022-10-18,45
91,01 4732104,2025-12-05,44
92,(09)632-5953,2025-01-06,42
93,08 7747016,2023-09-23,5
94,(03) 9500 4797,2022-08-18,39
95,+84 16 2456506,2021-06-15,41
96,+84-35-841687,2025-01-08,11
97,09 9121 6558,2025-11-23,35
98,(02)398-6800,2021-05-24,47
99,+84-57-872 9825,2025-11-09,16
100,02 6949 5888,2023-08-25,11
101,+84-47-055169,2022-09-27,30
102,+84-09-749 9309,2023-08-08,25
103,+84-96-230913,2021-04-17,18
104,06 2636 8970,2024-09-23,41
105,+84-38-578652,2023-07-01,45
106,+84-58-549733,2022-08-05,36
107,03 4437 5758,2025-11-13,15
108,(04)419-8665,2025-12-22,44
109,(02)404-1574,2024-12-08,21
110,(03) 8484 2199,2022-05-25,50
111,+84 83 3016571,2024-08-09,50
112,(00) 8267 7345,2022-08-17,4
113,+84 19 3802620,2026-03-09,15
114,07 2400499,2021-09-26,3
115,04 7887 2874,2022-03-01,21
116,+84 52 7420549,2024-07-28,26
117,(02) 9668 5161,2022-02-14,18
118,(07) 5304 6374,2025-12-21,5
119,09 9045 3017,2022-09-25,14
120,08 4145933,2025-12-27,37
121,02 7956878,2025-03-18,46
122,(03)391-8785,2021-08-03,21
123,+84-10-883982,2022-01-08,14
124,(08)713-9718,2023-06-05,42
125,+84 72 8679087,2024-07-25,32
126,00 6403 9106,2022-12-03,26
127,+84 80 1704622,2025-01-11,42
128,+84-65-676 6182,2024-06-20,30
129,01 2868 2300,2026-02-03,10
130,08 6863375,2021-12-22,17
131,(01) 0690 3311,2024-03-03,9
132,09 0306738,2022-04-14,16
133,(00)284-3959,2024-03-10,48
134,+84-53-428 3644,2021-07-03,36
135,+84-26-870568,2022-10-17,35
136,06 2462873,2025-06-12,17
137,02 7086 6882,2023-02-21,48
138,03 5175 1830,2022-07-17,38
139,+84-99-013 9837,2022-03-30,28
140,04 0331 7393,2023-03-08,38
141,(08) 5467 8544,2022-12-31,26
142,07 1753556,2021-06-05,24
143,(03)204-8996,2022-09-04,15
144,(05) 3693 7854,2025-01-06,9
145,07 7252287,2022-02-13,33
146,+84-08-010062,2025-05-31,32
147,(01) 2038 7509,2024-05-22,6
148,+84-77-008860,2021-04-13,49
149,+84-48-408 6211,2023-10-28,4
150,(03) 9845 4615,2025-12-30,8
151,09 3341016,2023-02-04,10
152,+84-70-021765,2024-01-11,41
153,(01)803-3974,2021-06-07,11
154,+84 48 9025039,2021-12-02,44
155,(06)142-9396,2024-08-01,28
156,+84-56-218501,2023-05-21,39
157,(01)599-9650,2024-05-15,5
158,(07)735-8662,2024-08-06,25
159,+84-61-943 1142,2023-02-06,25
160,(02)655-1104,2023-06-04,39
161,(04)121-2678,2023-12-22,30
162,01 0158199,2025-02-14,34
163,(06)046-6183,2024-01-22,17
164,(06) 2244 4721,2022-01-13,36
165,06 4715 4379,2024-04-13,1
166,01 2406596,2025-03-22,44
167,07 5692 4593,2023-08-06,47
168,(06) 5479 3564,2025-04-13,8
169,05 1939828,2021-05-02,44
170,+84-73-741 6724,2022-05-30,35
171,+84-26-617 9796,2023-11-15,49
172,(06)805-8911,2025-01-16,18
173,+84-52-909 6561,2021-04-02,50
174,03 8889 9375,2023-02-26,42
175,(09)825-0714,2023-04-12,22
176,+84 12 5457387,2022-12-10,8
177,+84 77 5140105,2024-06-09,19
178,+84-23-828 2586,2025-12-29,28
179,(06) 2266 0937,2024-02-28,11
180,00 3341918,2022-02-18,30
181,03 7147 8596,2024-04-03,1
182,+84-15-579249,2024-02-25,47
183,+84-25-134 1252,2023-10-03,47
184,09 2966278,2024-08-31,17
185,+84-28-274 2257,2024-04-18,33
186,(05)072-3688,2024-06-19,49
187,07 6772190,2025-03-07,12
188,(04) 0438 4279,2024-11-29,33
189,(07)881-9148,2025-04-26,7
190,08 0783 6134,2025-07-29,41
191,+84 74 5171339,2024-08-24,20
192,(09)629-2330,2024-01-19,41
193,+84-49-825449,2022-07-15,33
194,(08)126-0422,2022-06-13,39
195,+84-53-672 9466,2023-06-17,13
196,+84-16-845 7759,2021-03-18,10
197,(01)751-8636,2025-04-28,24
198,04 5458929,2025-06-18,49
199,(05)001-7012,2023-05-29,11
200,+84 63 2424154,2021-08-11,35
